🔌	2.80
💻	2.72
🖥	3.74
🖨	3.51
⌨	3.43
🖱	3.39
🖲	2.94
💽	3.05
💾	2.89
💿	2.52
📀	3.12
🎥	2.73
🎞	2.95
📽	2.65
🎬	2.69
📺	2.51
📷	2.49
📸	2.81
📹	2.47
📼	2.41
🔍	2.77
🔎	2.80
🕯	2.61
💡	2.68
🔦	3.29
🏮	3.44
📔	3.27
📕	3.02
📖	2.84
📗	3.35
📘	3.14
📙	3.36
📚	2.89
📓	2.74
📒	2.84
📃	2.59
📜	2.45
📄	2.74
📰	2.43
🗞	2.16
📑	2.76
🔖	2.65
🏷	2.58
💰	2.48
💴	2.31
💵	0.00
💶	2.33
💷	2.37
💸	2.27
💳	2.39
💹	3.35
✉	2.26
📧	2.35
📨	2.99
📩	2.11
📤	2.55
📥	2.40
📦	2.93
📫	2.99
📪	2.90
📬	2.20
📭	2.44
📮	3.23
🗳	2.74
✏	2.59
✒	2.75
🖋	2.50
🖊	3.01
🖌	2.74
🖍	2.55
📝	2.68
💼	2.53
📁	2.37
📂	2.26
🗂	2.57
📅	2.12
📆	2.39
🗒	2.57
🗓	0.00
📇	2.97
📈	2.57
📉	2.05
📊	2.49
📋	2.56
📌	2.27
📍	2.31
📎	2.01
🖇	2.40
📏	3.01
📐	3.25
✂	0.00
🗃	2.23
🗄	2.56
🗑	0.00
🔒	2.97
🔓	2.53
🔏	2.55
🔐	2.34
🔑	2.97
🗝	2.64
🔨	2.08
⛏	2.21
⚒	2.66
🛠	2.18
🗡	3.39
⚔	2.79
🔫	0.00
🏹	2.72
🛡	2.83
🔧	2.50
🔩	2.31
⚙	2.99
🗜	0.00
⚖	2.25
🔗	2.54
⛓	2.13
⚗	2.77
🔬	2.63
🔭	2.94
📡	2.32
💉	2.32
💊	-2.19
🚪	2.07
🛏	2.38
🛋	3.43
🚽	0.00
🚿	2.62
🛁	2.39
🛒	2.74
🚬	2.26
⚰	-2.13
⚱	2.52
🗿	2.08
🏧	2.25
🚮	-2.06
🚰	2.21
♿	2.13
🚹	2.78
🚺	2.40
🚻	2.93
🚼	2.51
🚾	2.45
🛂	2.80
🛃	0.00
🛄	3.03
🛅	2.67
⚠	2.06
🚸	3.11
⛔	2.15
🚫	0.00
🚳	3.53
🚭	2.10
🚯	0.00
🚱	0.00
🚷	2.17
📵	0.00
🔞	2.78
☢	2.41
☣	0.00
⬆	2.53
↗	-3.27
➡	2.59
↘	-3.07
⬇	2.77
↙	3.33
⬅	3.11
↖	0.00
↕	3.46
↔	2.21
↩	3.51
↪	2.86
⤴	2.73
⤵	2.96
🔃	3.23
🔄	3.27
🔙	3.20
🔚	3.26
🔛	3.27
🔜	3.08
🔝	2.77
🛐	2.74
